Sample,Percent_in_Exons,Percent_Near_Exons,PercentOff_Target_Exons,Percent_on_Target2X,Percent_Near_Target2X,PercentOff_Target2X,Percent_on_Target7X,Percent_Near_Target7X,PercentOff_Target7X,Percent_on_Target12X,Percent_Near_Target12X,PercentOff_Target12X
Capture1_B3,0.47,0.10,0.43,0.46,0.10,0.44,0.46,0.10,0.44,0.46,0.10,0.44
Capture1_B4,0.52,0.10,0.39,0.51,0.09,0.40,0.51,0.09,0.40,0.50,0.09,0.40
Capture1_G3,0.48,0.07,0.45,0.47,0.07,0.46,0.47,0.07,0.46,0.47,0.07,0.46
Capture1_G5,0.46,0.10,0.44,0.46,0.10,0.45,0.46,0.10,0.45,0.45,0.09,0.45
Capture1_K3,0.47,0.10,0.43,0.46,0.10,0.44,0.46,0.10,0.44,0.46,0.10,0.44
Capture1_K4,0.47,0.10,0.43,0.47,0.10,0.44,0.46,0.10,0.44,0.46,0.10,0.44
Capture1_M3,0.43,0.10,0.47,0.43,0.10,0.48,0.43,0.10,0.48,0.42,0.10,0.48
Capture1_M4,0.45,0.10,0.45,0.44,0.10,0.46,0.44,0.10,0.46,0.44,0.10,0.46
Capture1_N2,0.45,0.09,0.46,0.44,0.09,0.47,0.44,0.09,0.47,0.44,0.08,0.48
Capture2_B3,0.44,0.09,0.47,0.44,0.08,0.48,0.44,0.08,0.48,0.43,0.08,0.48
Capture2_B4,0.48,0.08,0.44,0.48,0.08,0.45,0.47,0.08,0.45,0.47,0.08,0.45
Capture2_G3,0.46,0.09,0.45,0.45,0.09,0.46,0.45,0.09,0.46,0.45,0.09,0.47
Capture2_G5,0.43,0.09,0.48,0.43,0.08,0.49,0.43,0.08,0.49,0.43,0.08,0.49
Capture2_K3,0.44,0.08,0.48,0.44,0.08,0.48,0.44,0.08,0.48,0.44,0.08,0.49
Capture2_K4,0.43,0.09,0.48,0.43,0.08,0.49,0.43,0.08,0.49,0.43,0.08,0.49
Capture2_M3,0.42,0.09,0.50,0.41,0.08,0.50,0.41,0.08,0.51,0.41,0.08,0.51
Capture2_M4,0.42,0.09,0.49,0.42,0.08,0.50,0.42,0.08,0.50,0.42,0.08,0.50
Capture2_N2,0.44,0.10,0.47,0.43,0.10,0.48,0.43,0.10,0.48,0.43,0.09,0.48
Capture3_B3,0.48,0.06,0.46,0.47,0.06,0.47,0.47,0.06,0.47,0.47,0.06,0.47
Capture3_B4,0.49,0.06,0.45,0.48,0.06,0.46,0.48,0.06,0.46,0.48,0.06,0.47
Capture3_G3,0.47,0.07,0.47,0.46,0.06,0.47,0.46,0.06,0.48,0.46,0.06,0.48
Capture3_G5,0.46,0.07,0.47,0.45,0.07,0.48,0.45,0.07,0.48,0.45,0.07,0.48
Capture3_K3,0.45,0.07,0.48,0.45,0.07,0.49,0.45,0.07,0.49,0.44,0.07,0.49
Capture3_K4,0.46,0.07,0.48,0.45,0.07,0.48,0.45,0.06,0.48,0.45,0.06,0.49
Capture3_M3,0.42,0.08,0.51,0.42,0.07,0.51,0.41,0.07,0.51,0.41,0.07,0.52
Capture3_M4,0.44,0.07,0.49,0.43,0.07,0.50,0.43,0.07,0.50,0.43,0.07,0.50
Capture3_N2,0.44,0.07,0.49,0.44,0.07,0.50,0.44,0.07,0.50,0.43,0.07,0.50
Capture4_B3,0.44,0.10,0.46,0.44,0.09,0.47,0.44,0.09,0.47,0.43,0.09,0.48
Capture4_B4,0.45,0.10,0.46,0.44,0.09,0.47,0.44,0.09,0.47,0.43,0.09,0.47
Capture4_G3,0.43,0.10,0.47,0.42,0.10,0.48,0.42,0.10,0.48,0.42,0.09,0.49
Capture4_G5,0.42,0.10,0.48,0.41,0.10,0.49,0.41,0.10,0.49,0.41,0.10,0.50
Capture4_K3,0.42,0.10,0.49,0.42,0.09,0.49,0.42,0.09,0.49,0.41,0.09,0.50
Capture4_K4,0.42,0.09,0.49,0.41,0.09,0.50,0.41,0.09,0.50,0.41,0.09,0.50
Capture4_M3,0.41,0.10,0.49,0.40,0.10,0.50,0.40,0.10,0.50,0.40,0.10,0.51
Capture4_M4,0.40,0.10,0.51,0.39,0.10,0.51,0.39,0.09,0.52,0.39,0.09,0.52
Capture4_N2,0.41,0.10,0.50,0.40,0.09,0.51,0.40,0.09,0.51,0.40,0.09,0.51
